Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62802726,Melt With You,Jennifer Dugan,"Dugan, Jennifer",,"=""059311258X""","=""9780593112588""",3,3.48,G.P. Putnam's Sons Books for Young Readers,Paperback,336,2023,2022,2023/09/05,2023/08/29,,,read,"Классическая будут ли / не будут ли они вместе. <br/>Мискоммуникация, додумывание за других, родительский манипуляции. Короче все популярные тропы п*здастрадания<br/><br/>Ну правда, как можно год злиться на человека, который не ответил тебе на чувства, если он о них даже не знал! И еще и вести себя с ним как говнючка.<br/>Ладно-ладно, может в 18-19 лет и можно..<br/><br/>И каждый раз, когда я думала, ну наконец они поговорят, они не говорили и это продолжалось.<br/><br/>И если конец был именно таким что они не будут вместе, мне понравилось бы больше, потому что это бы показало, что не все истории заканчиваются счастливо и иногда вы действительно заставляете друг друга только страдать<br/><br/>*Звездочкой тут конечно идет отношения матерей с дочками. Манипуляции дикие.<br/>Не должен ребенок чувствовать, что без него родители со своим бизнесом не справится. Плакать, буквально умолять ребенка помочь (когда ребенку явно не комфортно выполнить просьбу), когда еще и в конце оказывается, что в этом не было необходимости и они так хотели «померить» дочек ",true,,1,0
18270417,Норвежский лес,Haruki Murakami,"Murakami, Haruki",,"=""5699063447""","=""9785699063444""",0,4.00,Эксмо,Hardcover,352,2005,1987,,2023/09/03,to-read,to-read (#50),to-read,,,,0,0
56180769,Lilac,B.B. Reid,"Reid, B.B.",,"=""""","=""""",0,3.74,Bebe's Reads LLC,Kindle Edition,556,2020,2020,,2023/08/29,to-read,to-read (#49),to-read,,,,0,0
62334000,Three Swedish Mountain Men,Lily Gold,"Gold, Lily",,"=""1739586700""","=""9781739586706""",0,3.91,Wild Jasmine Books,Paperback,332,2022,2021,,2023/08/29,to-read,to-read (#48),to-read,,,,0,0
75555793,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0571365442""","=""9780571365449""",0,3.53,Faber  Faber,Paperback,337,2023,2021,2023/08/28,2023/01/08,,,read,,,,1,0
146398645,Pay-Per-Heart,Grace McGinty,"McGinty, Grace",,"=""""","=""""",0,4.05,,Kindle Edition,347,2023,2023,,2023/08/21,to-read,to-read (#47),to-read,,,,0,0
49811667,"Conventionally Yours (True Colors, #1)",Annabeth Albert,"Albert, Annabeth",,"=""1728200296""","=""9781728200293""",0,3.85,Sourcebooks Casablanca,Paperback,389,2020,2020,,2023/08/18,to-read,to-read (#46),to-read,,,,0,0
61897968,"Practice Makes Perfect (When in Rome, #2)",Sarah       Adams,"Adams, Sarah",,"=""0593500806""","=""9780593500804""",5,4.01,Dell,Paperback,335,2023,2023,2023/08/18,2023/05/05,,,read,Okay! Here me out! We need more male characters who support women’s smut reading. That’s so hot!,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.10,Scholastic Press,Hardcover,390,2010,2010,2023/08/14,2023/08/10,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.33,Scholastic Press,Hardcover,391,2009,2009,2023/08/10,2023/08/07,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.34,Scholastic Press,Hardcover,374,2008,2008,2023/08/07,2023/08/04,,,read,,,,1,0
111163227,"Teacher of the Year (Teachers in Love, #1)",M.A. Wardell,"Wardell, M.A.",,"=""""","=""9798987787502""",4,3.76,M.A. Wardell,Kindle Edition,347,2023,2023,2023/07/27,2023/06/27,,,read,"Милый, сахарно-сладкий роман.<br/>Начнём с того, что мне в этой книге понравилось:<br/>1. Главный герой и стиль повествования. Я понимаю, что он зайдет далеко не каждому. У главного героя тревожность и сдвг. И так как повествование ведется от его лица, оно переодически убегает в сторону, зацикливается и насыщено многими лишними деталями. У меня в голове иногда все также, так что мне зашло.<br/>2. Юмор и шутки. Подколы (себя и других) и сарказм верный способ покорить меня как человека, так и читателя.<br/>3. Важные темы. Чтобы без спойлеров, я не буду писать какие, но очень важно о них говорить и чтобы они получали должную репрезентацию. Не забудьте прочесть TW в начале книги.<br/>4. Ну и я, как и Марвин, sucker for attentive fathers.<br/><br/>Что мне не понравилось:<br/>1. Физиологии спайси сцены. Нет, сами сцены мне побольше часте понравились, их много, они горячие, но иногда абсолютно противоречат с человеческой физиологией. Ну как можно тянутся к ягодицам человека стоявшего перед тобой на коленях. Из-за этого мне казалось, что я всегда что-то пропустила, пыталась перечитать сцену, но нет, они просто так написаны.<br/>2. Развитие отношений главных героев. Что их притянула друг к другу кроме как внешний вид? Они перемолвились буквально несколькими словами прежде, чем «втюрится» друг в друга. И со стороны Марвина мы конечно видим, что да это начинается как обычный краш и это кажется нормальным, но для Олана, который как мы потом узнаем, должен быть сосредоточен на себе и весь такой подконтрольный, так что это поведение крайне странно.<br/>3. Почему-то о влияние всего этого романа двух взрослых на ребенка главные герои задумываются только к концу книги, когда все становится не очень то радужно. Но так как один герой с тревожность, а другой все любит держать под контролем, кажется что они все исходы событий должны были продумать заранее (тут просто поверьте я знаю о чем говорю) <br/>4. Ну и некоторые сцены я так и не поняла зачем были вставлены (например, когда Маркину позвонил Адам)<br/><br/>А так ну супер сладкая, легкая книжка, чтобы не сильно напрягаться и страдать.",,,1,0
48635866,Wilder Girls,Rory Power,"Power, Rory",,"=""0525645616""","=""9780525645610""",0,3.46,Ember,Paperback,357,2020,2019,,2023/07/24,to-read,to-read (#45),to-read,,,,0,0
56586693,"Sweater Weather (Sweater Weather, #1)",lumosinlove,"lumosinlove, lumosinlove",,"=""""","=""""",4,4.05,Archive of Our Own,ebook,533,2020,2017,2023/07/24,2023/07/21,,,read,,,,1,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",4,4.47,Bloomsbury Publishing,Paperback,703,2020,2017,2023/07/21,2023/07/10,,,read,,,,1,0
94078,M or F?,Lisa Papademetriou,"Papademetriou, Lisa","Chris Tebbetts, Christopher Tebbetts","=""1595140913""","=""9781595140913""",0,3.70,Razorbill,Paperback,320,2006,2005,,2023/07/18,to-read,to-read (#44),to-read,,,,0,0
50225678,"Boyfriend Material (London Calling, #1)",Alexis  Hall,"Hall, Alexis",,"=""1728206146""","=""9781728206141""",0,4.00,Sourcebooks Casablanca,Paperback,425,2020,2020,,2023/07/18,to-read,to-read (#43),to-read,,,,0,0
52252715,Women Don't Owe You Pretty,Florence Given,"Given, Florence",,"=""1788402278""","=""""",0,3.72,Cassell,Kindle Edition,193,2020,2020,,2023/07/18,to-read,to-read (#42),to-read,,,,0,0
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""168119628X""","=""9781681196282""",0,4.46,Bloomsbury Publishing,Hardcover,757,2021,2021,,2023/07/18,to-read,to-read (#42),to-read,,,,0,0
27864391,The Danish Girl,David Ebershoff,"Ebershoff, David",,"=""147460157X""","=""9781474601573""",0,3.76,W&N,Paperback,310,2015,2000,,2023/07/18,to-read,to-read (#41),to-read,,,,0,0
57827861,Три женщины,Lisa Taddeo,"Taddeo, Lisa",Лиза Таддео,"=""5041103976""","=""9785041103972""",0,3.72,БОМБОРА,Hardcover,400,2021,2019,,2023/07/15,to-read,to-read (#40),to-read,,,,0,0
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,"=""1250244498""","=""9781250244499""",0,3.91,Griffin,Paperback,418,2021,2021,,2023/07/11,to-read,to-read (#39),to-read,,,,0,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",5,4.65,Bloomsbury Publishing,Paperback,626,2020,2016,2023/07/09,2023/07/02,,,read,,,,1,0
479471,Dance on My Grave,Aidan Chambers,"Chambers, Aidan",,"=""006091310X""","=""9780060913106""",0,3.90,HarperCollins Publishers,Paperback,256,1986,1982,,2023/07/09,to-read,to-read (#38),to-read,,,,0,0
49110165,Sorrow and Bliss,Meg Mason,"Mason, Meg",,"=""""","=""""",0,4.09,4th Estate - AU,Paperback,352,2021,2020,,2023/07/06,to-read,to-read (#37),to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",5,4.18,Bloomsbury Publishing,Paperback,419,2020,2015,2023/07/02,2023/05/04,,,read,,,,1,0
55648824,Satisfaction Guaranteed,Karelia Stetz-Waters,"Stetz-Waters, Karelia",,"=""1538735520""","=""9781538735527""",0,3.84,Forever,Paperback,336,2021,2021,,2023/07/02,to-read,to-read (#36),to-read,,,,0,0
57352279,Разговоры с друзьями,Sally Rooney,"Rooney, Sally",Салли Руни,"=""5001312299""","=""9785001312291""",4,3.75,Синдбад,Hardcover,316,2021,2017,2023/06/20,2023/01/08,,,read,,,,1,0
61885040,Going Bicoastal,Dahlia Adler,"Adler, Dahlia",,"=""1250871646""","=""9781250871640""",0,3.82,Wednesday Books,Hardcover,336,2023,2023,,2023/06/20,to-read,to-read (#35),to-read,,,,0,0
61957878,Fu*kboys in Flannel (Ravens of Hollow Hill #1),Rory Ireland,"Ireland, Rory",Tate Monroe,"=""""","=""""",0,3.71,Banned Baddies LLC,Kindle Edition,228,2023,2023,,2023/06/20,to-read,to-read (#34),to-read,,,,0,0
142399165,"Double Pucked (My Hockey Romance, #1)",Lauren Blakely,"Blakely, Lauren",,"=""""","=""""",0,3.64,Lauren Blakely Books,Kindle Edition,386,2023,2023,,2023/06/20,to-read,to-read (#33),to-read,,,,0,0
61062194,Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard,Tom Felton,"Felton, Tom",,"=""1538741369""","=""9781538741368""",0,4.29,Grand Central Publishing,Hardcover,288,2022,2022,,2023/06/18,to-read,to-read (#32),to-read,,,,0,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""""","=""""",5,4.07,St. Martin's Griffin,Paperback,448,2019,2019,2023/06/17,2023/05/05,,,read,"Милый, легкий и абсолютно не стекольный роман о принце Англии и сыне президента Америки. Это одна из тех книг, которые нужно читать после тех, что разрывают сердца в клочья. От неё веет теплом, бабочками и радугой конечно же.<br/><br/>P.S. bonus points for Harry Potter references (especially RJL one)<br/><br/>P.P.S. Атмосфера фанфика по Джегулусам, где Джеймс - сын президента Америки, а Регулус - британский принц",,,1,0
123850265,Это не лечится,Анна Лукиянова,"Лукиянова, Анна",,"=""""","=""""",4,4.01,Альпина. Проза,Paperback,176,2023,,2023/06/09,2023/05/24,,,read,,,,1,0
138709030,Год порно,Илья Мамаев-Найлз,"Мамаев-Найлз, Илья",,"=""""","=""""",4,3.65,Polyandria NoAge,Paperback,,2023,,2023/06/06,2023/05/24,,,read,"О чем произведение думаю можно прекрасно понять из аннотации, она более, чем полная.<br/>Жанр - повседневность, год из жизни 23-летнего парня из провинции, в котором он хоть и участник событий, но скорее все же наблюдатель.<br/>В тексте поднимется много тем, правда важных, но от того как их много, как там много «разговоров о важном», потихоньку устаешь.<br/><br/>Думаю «образец литературы нового поколения» очень точное описание.<br/><br/>P.S. Понимаю, что это литературный стиль автора и так и задумано, чтобы чувствовался монотонный стиль, но мозг очень противился воспринимать прямую речь, так как она никак не выделена в тексте<br/><br/>P.P.S. Любое произведение с упоминанием вселенной Гарри Поттера (а тут их целых два) автоматически получает +1 в моей голове",,,1,0
58578516,Незримая жизнь Адди Ларю,Victoria E. Schwab,"Schwab, Victoria E.","Виктория Шваб, Елена Николенко","=""""","=""""",0,4.18,"Эксмо, Inspiria",Hardcover,640,2021,2020,,2023/06/05,to-read,to-read (#31),to-read,,,,0,0
32619783,Дети свободы,Marc Levy,"Levy, Marc",Марк Леви,"=""5389032772""","=""9785389032774""",0,4.02,"Иностранка, Азбука-Аттикус ",Paperback,464,2012,2007,,2023/06/04,,,read,,,,1,0
58166560,Три билета в кино,Яна Ткачёва,"Ткачёва, Яна",,"=""""","=""""",5,4.18,Gavran books,Hardcover,359,2020,,2023/06/02,2023/05/31,,,read,"Много ли вы знаете российских художественных книг о полиамории? Вот и я нет. <br/>А репрезентация важна. Ведь главные герои тоже ничего не знали о поли-союзах. И если двоих это не волновало, то третьего съедало изнутри.<br/>Очень грустно, что все, кто не вписываются в рамки «нормативности» постоянно вынуждены чувствовать себя неправильными и сломанными.<br/>В романе много боли, много нездоровых отношений - в обществе, в семье, между супругами, но в противовес этому стоит дружба, любовь, безусловная поддержка и принятие.<br/>Местами роман скомкан, например, мне такой показалось концовка. А местами есть ощущение, что что-то важное остаётся за ширмой. Местами не хватает более глубокого описания переживаний главных героев. Но это все равно 5 звезд. <br/><br/>Так грустно, что подобные книжки запрещены в современной России. ",,,1,0
57318255,За стенкой. История Отиса Ревиаля,Gabriel  Costa,"Costa, Gabriel",,"=""""","=""""",0,3.42,ЛитРес: Самиздат,ebook,370,2021,2021,,2023/05/31,to-read,to-read (#30),to-read,,,,0,0
132731127,Младший брат,Cory Doctorow,"Doctorow, Cory",,"=""5604836222""","=""9785604836224""",5,3.93,Popcorn Books,Paperback,488,2023,2008,2023/05/30,2023/05/21,,,read,"Насколько тяжело читать эту книгу в контексте современной России, особенно прерываясь на прочтение новостей. Возможно именно поэтому попкорны решили издать ее сейчас. Возможно поэтому мне надо было делать большие паузы между «подходами» к чтению. А ведь книга была издана 15 лет назад.<br/><br/>Очень понравилось как просто описаны системы шифрования, протоколы передачи данных и прочие вещи связанные с кибер безопастностью. <br/>А еще очень классная идея три главы после эпилога, чтобы читатель понимал на чем основывается художественный вымысел",,,1,0
2241059,Identical,Ellen Hopkins,"Hopkins, Ellen",,"=""1416950052""","=""9781416950059""",0,4.29,Margaret K. McElderry Books,Hardcover,565,2008,2008,,2023/05/25,to-read,to-read (#29),to-read,,,,0,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",0,4.33,"Harcourt, Inc.",Hardcover,96,2000,1943,,2023/05/25,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",0,4.23,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2023/05/25,to-read,to-read (#28),to-read,,,,0,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",0,4.13,Dutton Books,Hardcover,313,2012,2012,,2023/05/25,,,read,,,,1,0
134160403,Спрингфилд,Сергей Давыдов,"Давыдов, Сергей",,"=""0993820239""","=""9780993820236""",3,4.02,Freedom Letters,Kindle Edition,134,2023,,2023/05/25,2023/05/24,,,read,,,,1,0
42864614,Папа,Катя Райт,"Райт, Катя",,"=""""","=""""",4,3.70,Ridero,Kindle Edition,178,2018,,2023/05/24,2023/05/24,,,read,,,,1,0
40694429,"Саймон и программа Homo Sapiens (Creekwood, #1)",Becky Albertalli,"Albertalli, Becky",Бекки Алберталли,"=""""","=""9785990886162""",0,4.15,Popcorn Books,Paperback,368,2018,2015,,2023/05/24,to-read,to-read (#27),to-read,,,,0,0
16149014,Это я - Эдичка,Eduard Limonov,"Limonov, Eduard",Эдуард Лимонов,"=""""","=""""",0,3.82,Конец Века,Hardcover,335,1992,1978,,2023/05/24,to-read,to-read (#26),to-read,,,,0,0
55889147,Тревожные люди,Fredrik Backman,"Backman, Fredrik","Фредрик Бакман, Ксения Коваленко","=""5001312353""","=""9785001312352""",4,4.17,Синдбад,Hardcover,416,2020,2019,2023/05/20,2023/05/05,,,read,,,,1,0
32944167,Маленькая жизнь,Hanya Yanagihara,"Yanagihara, Hanya","Ханья Янагихара, Александра Борисенко, Анастасия Завозова, Виктор Сонькин","=""5170971192""","=""9785170971190""",0,4.31,Ast,Hardcover,688,2016,2015,,2023/05/11,to-read,to-read (#25),to-read,,,,0,0
34756986,"Близко к сердцу: Как жить, если вы слишком чувствительный человек (Elsk dig selv) (Russian Edition)",Ilse Sand,"Sand, Ilse",Илсе Санд,"=""5961446700""","=""9785961446708""",0,3.71,Альпина Паблишер,Kindle Edition,147,2022,2010,,2023/05/11,to-read,to-read (#24),to-read,,,,0,0
60423427,"Окна во двор (Дни нашей жизни, #2)",Mikita Franko,"Franko, Mikita",Микита Франко,"=""""","=""""",5,4.43,Popcorn Books,ebook,,2022,,2023/05/11,2023/05/07,,,read,,,,1,0
4581973,Жутко громко и запредельно близко,Jonathan Safran Foer,"Foer, Jonathan Safran",Василий Арканов,"=""569922808X""","=""9785699228089""",0,3.97,Эксмо,Hardcover,416,2007,2005,,2023/05/11,to-read,to-read (#23),to-read,,,,0,0
49531567,"Дарий Великий не в порядке (Darius The Great, #1)",Adib Khorram,"Khorram, Adib",Адиб Хоррам,"=""""","=""9785604262757""",0,4.24,Popcorn Books,Paperback,432,2019,2018,,2023/05/09,to-read,to-read (#22),to-read,,,,0,0
32981914,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""1524764582""","=""9781524764586""",5,3.66,Delacorte Press,Hardcover,272,2017,2014,2023/05/06,2023/05/05,,,read,,,,1,0
45419373,Далеко от яблони,Robin Benway,"Benway, Robin",,"=""5604262706""","=""9785604262702""",0,4.25,Popcorn Books,Paperback,432,2019,2017,,2023/05/04,to-read,to-read (#20),to-read,,,,0,0
55811388,Любовь: сделай сам. Как мы стали менеджерами своих чувств,Polina Aronson,"Aronson, Polina",Полина Аронсон,"=""""","=""9785604458112""",5,4.17,Individuum,Paperback,192,2020,,2023/05/03,2023/04/22,,,read,,,,1,0
62906787,Lady of Darkness (Darkness #2),Amanda   Richardson,"Richardson, Amanda",,"=""""","=""""",0,3.99,,Kindle Edition,314,2022,2022,2023/05/02,2023/04/28,,,read,,,,1,0
57390865,"Forever Changed (Forever Changed Duet, #1)",Amber  Nicole,"Nicole, Amber",,"=""""","=""""",0,4.03,,Kindle Edition,356,2021,2021,,2023/04/30,to-read,to-read (#19),to-read,,,,0,0
62990613,Lords of Darkness (Darkness #1),Amanda   Richardson,"Richardson, Amanda",,"=""""","=""""",0,4.07,,Kindle Edition,320,2022,2022,2023/04/28,2023/04/26,,,read,,,,1,0
62326767,Nanny for the Neighbors,Lily Gold,"Gold, Lily",,"=""""","=""""",0,3.97,Independently Published,Kindle Edition,476,2022,2021,2023/03/09,2023/03/06,,,read,,,,1,0
75295081,Red Roses & Black Dahlias (Blood and Water #1),Macy T. Riosa,"Riosa, Macy T.",,"=""""","=""""",0,3.98,Macy T. Riosa,Kindle Edition,405,2023,,,2023/04/24,to-read,to-read (#18),to-read,,,,0,0
63390998,"The Boy I Once Hated (Love & Hate Duet, #1)",C.R. Jane,"Jane, C.R.",Ivy Fox,"=""""","=""""",0,4.16,,Kindle Edition,422,2023,2023,,2023/04/23,to-read,to-read (#17),to-read,,,,0,0
58260738,"Свита короля (All for the Game, #3)",Nora Sakavic,"Sakavic, Nora",Нора Сакавич,"=""5604588970""","=""9785604588970""",5,4.58,Popcorn Books,Paperback,560,2021,2014,2023/04/22,2023/04/20,,,read,,,,1,0
55710360,"Король воронов (All for the Game, #2)",Nora Sakavic,"Sakavic, Nora",Нора Сакавич,"=""5604458139""","=""9785604458136""",5,4.38,Popcorn Books,Paperback,432,2020,2013,2023/04/20,2023/04/19,,,read,,,,1,0
50731490,"Лисья нора (All for the Game, #1)",Nora Sakavic,"Sakavic, Nora",Нора Сакавич,"=""""","=""9785604360613""",5,4.02,Popcorn Books,Paperback,336,2020,2013,2023/04/19,2023/03/16,,,read,,,,1,0
61177447,Семь мужей Эвелин Хьюго,Тейлор Дженкинс Рейд,"Рейд, Тейлор Дженкинс",,"=""5041594562""","=""9785041594565""",5,4.41,Inspiria,Hardcover,448,2022,2017,2023/04/13,2023/03/22,,,read,,,,1,0
61204943,Just Lovers [Like We Were Supposed to Be],Zeppazariel,"Zeppazariel, Zeppazariel",bizarrestars,"=""""","=""""",5,4.63,AO3,ebook,,2022,,,2023/04/10,,,read,,,,2,0
40506144,"The Bombshell Effect (Washington Wolves, #1)",Karla Sorensen,"Sorensen, Karla",,"=""""","=""""",3,3.86,"Dutch Girl Publishing, LLC",Kindle Edition,266,2018,2018,2023/04/07,2023/04/04,,,read,,,,1,0
63893145,Sticks and Stone (Penalty Box Players),Grace McGinty,"McGinty, Grace",,"=""""","=""""",0,4.06,Amazon Digital Services,Kindle Edition,337,2022,2022,,2023/04/06,to-read,to-read (#16),to-read,,,,0,0
45280797,Top Secret,Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1942444796""","=""9781942444794""",0,4.10,,ebook,318,2019,2019,,2023/04/02,to-read,to-read (#15),to-read,,,,0,0
60728875,"Love Me (WITSEC, #3)",Ashley N. Rostek,"Rostek, Ashley N.",,"=""""","=""""",0,4.27,,Kindle Edition,276,2022,2022,2023/03/31,2023/03/29,,,read,,,,1,0
59356763,"Save Me (WITSEC, #2)",Ashley N. Rostek,"Rostek, Ashley N.",,"=""""","=""""",0,4.25,,Kindle Edition,244,2021,2021,2023/03/29,2023/03/27,,,read,,,,1,0
58570701,"Find Me (WITSEC, #1)",Ashley N. Rostek,"Rostek, Ashley N.",,"=""""","=""""",0,4.34,,Kindle Edition,274,2021,2021,2023/03/27,2023/03/26,,,read,,,,1,0
17453160,Морис,E.M. Forster,"Forster, E.M.",Андрей Куприн,"=""""","=""""",0,4.08,Глагол,Hardcover,334,2000,1971,,2023/03/24,to-read,to-read (#14),to-read,,,,0,0
20438484,"Правда о деле Гарри Квеберта (Marcus Goldman, #1)",Joël Dicker,"Dicker, Joël","Жоэль Диккер, Ирина Стаф","=""517080816X""","=""9785170808168""",0,4.19,Corpus,Hardcover,720,2014,2012,,2023/03/24,,,read,,,,1,0
7926420,Овод,Ethel Lilian Voynich,"Voynich, Ethel Lilian",,"=""""","=""""",0,4.20,,Hardcover,355,,1897,,2023/03/24,,,read,,,,1,0
18403591,Мартин Иден,Jack London,"London, Jack",Джек Лондон,"=""""","=""""",0,4.48,"Издательство ""Просвещение""",Hardcover,285,1986,1909,,2023/03/24,,,read,,,,1,0
22006131,Пять языков любви,Gary Chapman,"Chapman, Gary",,"=""""","=""""",0,4.27,,,,,1990,,2023/03/24,,,read,,,,1,0
50638648,"Nordic Dads: 14 историй о том, как активное отцовство меняет жизнь детей и их родителей (Russian Edition)",Александр Фельдберг,"Фельдберг, Александр",Роман Лошманов,"=""5001465214""","=""9785001465218""",0,4.14,"Манн, Иванов и Фербер",Kindle Edition,305,2020,,,2023/03/24,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,4.14,Knopf,Hardcover,401,2022,2022,,2023/03/24,,,read,,,,1,0
53937364,В конце они оба умрут,Adam Silvera,"Silvera, Adam",Адам Сильвера,"=""""","=""""",5,3.76,Popcorn Books,Paperback,400,2021,2017,2023/03/24,2023/01/02,,,read,"Концепт книжки очень интересный, заставляет задуматься о том, о чем бы ты сожалел, если бы тебе кто-то позвонил и сказал, что ты сегодня точно умрешь. Напоминание не бояться делать то, что тебя пугает. Не смотря на такой философский концепт, книга достаточно легкая и немного наивная. Да, ты сразу знаешь, что главные герои умрут(так даже на обложке написано), при этом сам момент как это происходит не вызывает какой-то боли, боль вызывает страдания и горе выживших. Поэтому хочу закончить этот отзыв цитатой: «Не жалей умерших. Жалей живых, и в особенности тех, кто живет без любви»",,,1,0
58844858,"Go Hex Yourself (Hex, #1)",Jessica Clare,"Clare, Jessica",,"=""0593337565""","=""9780593337561""",0,3.68,Berkley,Paperback,384,2022,2022,,2023/03/16,to-read,to-read (#13),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",0,4.13,Berkley Books,Paperback,373,2021,2021,,2023/03/05,to-read,to-read (#12),to-read,,,,0,0
52732634,Песнь Ахилла,Madeline Miller,"Miller, Madeline",Мадлен Миллер,"=""5171087652""","=""9785171087654""",5,4.32,Corpus,Hardcover,384,2019,2011,2023/03/05,2023/01/04,,,read,,,,1,0
60469260,"Iced Out (Leighton U, #1)",C.E. Ricci,"Ricci, C.E.",,"=""""","=""""",0,4.13,,Kindle Edition,358,2022,2022,,2023/02/28,to-read,to-read (#11),to-read,,,,0,0
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",0,3.83,Graywolf Press,Paperback,248,2017,2017,,2023/02/27,to-read,to-read (#10),to-read,,,,0,0
75156300,"Завтра, завтра, завтра",Gabrielle Zevin,"Zevin, Gabrielle","Габриэль Зевин, Маргарита Лобия","=""""","=""9785001957294""",5,4.14,"Манн, Иванов и Фербер",Hardcover,576,2022,2022,2023/02/25,2023/01/14,,,read,"Сначала мне было очень тяжело читать, герои очень долго раскрывались для меня, казались мне какими-то глупыми и однобокими, но ведь и люди в жизни часто только кажутся такими. Чем дальше, тем больше я начинала им сочувствовать и понимать. Конечно, каких-то шаблонов и клише было предостаточно, но лично для меня это не испортило произведение",,,1,0
53959432,"Why Mummy’s Sloshed (Why Mummy, #4)",Gill Sims,"Sims, Gill",,"=""0008358575""","=""9780008358570""",0,4.17,HarperCollins,Kindle Edition,334,2020,2020,,2023/02/12,to-read,to-read (#9),to-read,,,,0,0
43163592,"Why Mummy Doesn’t Give a ****! (Why Mummy, #3)",Gill Sims,"Sims, Gill",,"=""0008301255""","=""9780008301255""",0,4.22,HarperCollins,Hardcover,352,2019,2019,,2023/02/12,,,read,,,,1,0
37863852,"Why Mummy Swears (Why Mummy, #2)",Gill Sims,"Sims, Gill",,"=""0008284237""","=""9780008284237""",0,4.08,HarperCollins,Kindle Edition,369,2018,2018,,2023/02/12,,,read,,,,1,0
35007682,"Why Mummy Drinks (Why Mummy, #1)",Gill Sims,"Sims, Gill",,"=""0008237492""","=""9780008237493""",0,3.96,HARPER COLLINS,Hardcover,352,2017,2017,,2023/02/12,,,read,,,,1,0
61131947,Постлюбовь. Будущее человеческих интимностей,Viktor Vilisov,"Vilisov, Viktor",,"=""5171370362""","=""9785171370367""",4,4.08,АСТ,Paperback,464,2022,2022,2023/02/11,2023/01/14,,,read,,,,1,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",0,3.96,Speak,Paperback,221,2006,2005,,2023/02/08,,,read,,,,1,0
49130,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.57,Arthur A. Levine Books,Hardcover,734,2000,2000,,2023/01/31,,,read,,,,1,0
34528128,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.61,Bloomsbury,Unknown Binding,870,2003,2003,,2023/01/31,,,read,,,,1,0
72193,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.47,Bloomsbury Publishing,Paperback,223,1997,1997,,2023/01/31,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2023/01/31,,,read,,,,1,0
