Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53344030,"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,"Oseman, Alice",,"=""1444957651""","=""9781444957655""",5,4.48,Hodder Children's Books,Paperback,336,2023,2023,2024/01/31,2023/12/10,,,read,,,,1,0
20618110,Solitaire,Alice Oseman,"Oseman, Alice",,"=""""","=""""",0,3.92,Harper Collins Children's Books UK,Paperback,392,2014,2014,,2024/01/31,to-read,to-read (#79),to-read,,,,0,0
125120424,"Heartstopper: Volume Six (Heartstopper, #6)",Alice Oseman,"Oseman, Alice",,"=""""","=""""",0,4.57,,,,,,,2024/01/31,to-read,to-read (#78),to-read,,,,0,0
25793458,Nick and Charlie,Alice Oseman,"Oseman, Alice",,"=""0008147876""","=""9780008147877""",5,4.15,HarperCollins Children's Books,ebook,120,2015,2015,2024/01/29,2024/01/13,,,read,,,,1,0
61419231,Тьма в хрустальной туфельке,J.J.A. Harwood,"Harwood, J.J.A.",Дж. Дж. Харвуд,"=""""","=""""",3,3.12,Эксмо,Hardcover,416,2022,2021,2024/01/29,2024/01/27,,,read,,,,1,0
27264289,"This Winter (Solitaire, #0.5)",Alice Oseman,"Oseman, Alice",,"=""0008147884""","=""9780008147884""",5,4.07,HarperCollins Children's Books,ebook,120,2015,2015,2024/01/24,2024/01/24,,,read,,,,1,0
58698661,Bromance. Тайный клуб романтиков,Lyssa Kay Adams,"Adams, Lyssa Kay","Лисса Кей Адамс, Инна Ермолина","=""5041565317""","=""9785041565312""",0,3.87,Эксмо,Hardcover,416,2021,2019,,2024/01/24,to-read,to-read (#77),to-read,,,,0,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",5,3.80,Pig & Bear Publishing,Kindle Edition,447,2022,2022,2024/01/21,2023/07/18,,,read,,,,1,0
199276876,"Trick Shot (Brother Puckers, #1)",Kayla Grosse,"Grosse, Kayla",,"=""""","=""""",0,3.71,Kayla Grosse,Kindle Edition,189,2023,2023,,2024/01/17,to-read,to-read (#76),to-read,,,,0,0
62092265,The Late Americans,Brandon  Taylor,"Taylor, Brandon",,"=""0593332334""","=""9780593332337""",0,3.37,Riverhead Books,Hardcover,303,2023,2023,,2024/01/14,currently-reading,currently-reading (#4),currently-reading,,,,1,0
16100972,"Openly Straight (Openly Straight, #1)",Bill Konigsberg,"Konigsberg, Bill",,"=""0545509890""","=""9780545509893""",0,3.86,Arthur A. Levine Books,Hardcover,320,2013,2013,,2024/01/13,to-read,to-read (#75),to-read,,,,0,0
37868569,"We Set the Dark on Fire (We Set the Dark on Fire, #1)",Tehlor Kay Mejia,"Mejia, Tehlor Kay",,"=""0062691333""","=""9780062691330""",0,3.76,Katherine Tegen Books,Kindle Edition,0,2019,2019,,2024/01/13,to-read,to-read (#74),to-read,,,,0,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.33,Laurel,Paperback,178,1988,1956,,2024/01/13,to-read,to-read (#73),to-read,,,,0,0
197769061,"God of Fury (Legacy of Gods, #5)",Rina Kent,"Kent, Rina",,"=""""","=""""",5,4.49,"Blackthorn Books, LLC",Kindle Edition,522,2023,2023,2024/01/12,2023/12/15,,,read,,,,1,0
146906,Eurydice in the Underworld,Kathy Acker,"Acker, Kathy",,"=""1900850087""","=""9781900850087""",0,4.12,Arcadia Books,Paperback,188,1998,1998,,2024/01/03,to-read,to-read (#72),to-read,,,,0,0
58829648,"Web of Lies  (The Apocalypse Society, #1)",Aly Beck,"Beck, Aly",,"=""""","=""""",0,4.26,,Kindle Edition,548,2021,2021,,2023/12/29,to-read,to-read (#71),to-read,,,,0,0
196539953,Pucking the Players,Jarica James,"James, Jarica",,"=""""","=""""",0,3.85,,Kindle Edition,232,2023,2023,,2023/12/29,to-read,to-read (#70),to-read,,,,0,0
199137669,Lords of Misrule,Maggie Rawdon,"Rawdon, Maggie",,"=""1959523236""","=""9781959523239""",0,3.83,,Kindle Edition,228,2023,2023,,2023/12/29,to-read,to-read (#69),to-read,,,,0,0
58379135,"Ты в порядке Книга о том, как нельзя с собой и не надо с другими",Алина Адлер,"Адлер, Алина",,"=""5961472841""","=""9785961472844""",0,4.24,ЛитРес,Audiobook,230,2021,,,2023/12/29,to-read,to-read (#68),to-read,,,,0,0
60503280,"The Dark One (Vicious Lost Boys, #2)",Nikki St. Crowe,"Crowe, Nikki St.",,"=""""","=""""",0,3.97,Blackwell House LLC,Kindle Edition,226,2022,2022,2023/12/29,2023/12/27,,,read,,,,1,0
157891036,"Король Неверленда (Vicious Lost Boys, #1)",Nikki St. Crowe,"Crowe, Nikki St.",Никки Сент Кроу,"=""5041803471""","=""9785041803476""",2,3.68,Эксмо,Hardcover,223,2023,2022,2023/12/27,2023/12/26,,,read,Я читала и хуже ,,,1,0
194304404,Double Hockey Sticks (Love & Hockey),Nixie Finn,"Finn, Nixie",,"=""""","=""""",1,3.19,Creek Bound Books,Kindle Edition,72,2023,,2023/12/24,2023/12/24,,,read,,,,1,0
94325555,Цвет пурпурный,Alice Walker,"Walker, Alice","Элис Уокер, М. Завьялова","=""""","=""""",5,4.27,АСТ,Paperback,352,2022,1982,2023/12/25,2023/12/05,,,read,,,,1,0
56060300,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"Oseman, Alice",,"=""1338617567""","=""9781338617566""",5,4.59,Graphix,Hardcover,384,2022,2021,2023/12/25,2023/12/10,,,read,,,,1,0
197744920,"Moments of Mayhem (The Hunters, #3)",T.L.  Smith,"Smith, T.L.",,"=""""","=""""",0,3.88,,Kindle Edition,216,2023,2023,,2023/12/24,to-read,to-read (#67),to-read,,,,0,0
7541858,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""""","=""""",0,4.07,Margaret K. McElderry Books,Kindle Edition,485,2009,2007,,2023/12/19,to-read,to-read (#66),to-read,,,,0,0
55545191,So This Is Ever After,F.T. Lukens,"Lukens, F.T.",,"=""""","=""""",0,3.91,Margaret K. McElderry Books,Kindle Edition,352,2022,2022,,2023/12/18,to-read,to-read (#65),to-read,,,,0,0
38041594,"Жестокий принц (Воздушный народ, #1)",Holly Black,"Black, Holly",Холли Блэк,"=""5040904703""","=""9785040904709""",0,4.02,Эксмо,Hardcover,480,2018,2018,,2023/12/18,to-read,to-read (#64),to-read,,,,0,0
123205520,Evil Boys,Clarissa Wild,"Wild, Clarissa",,"=""""","=""""",4,3.98,Clarissa Wild,Kindle Edition,510,2023,2023,2023/12/17,2023/11/20,,,read,,,,1,0
59320681,Heartstopper. С замиранием сердца. Том 1,Alice Oseman,"Oseman, Alice","Элис Осман, Марина Давыдова","=""""","=""9785604611937""",5,4.45,Popcorn Books,Paperback,288,2021,2018,2023/07/25,2023/07/25,,,read,,,,1,0
60020842,Heartstopper. С замиранием сердца. Том 2,Alice Oseman,"Oseman, Alice","Элис Осман, Марина Давыдова","=""5604653063""","=""9785604653067""",5,4.53,Popcorn Books,Paperback,320,2022,2019,2023/07/27,2023/07/27,,,read,,,,1,0
43449920,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"Oseman, Alice",,"=""""","=""""",5,4.56,Hodder Children's Books,Paperback,384,2020,2020,2023/12/10,2023/12/10,,,read,,,,1,0
52514416,Tomorrow Sex Will Be Good Again: Women and Desire in the Age of Consent,Katherine Angel,"Angel, Katherine",,"=""""","=""""",0,4.08,Verso,Hardcover,160,2021,2021,,2023/12/08,to-read,to-read (#63),to-read,,,,0,0
203255230,Я ничего плохого не делаю,Света Лукьянова,"Лукьянова, Света",,"=""9939117841""","=""9789939117843""",0,3.84,Papier Mache Press,Paperback,353,2023,,,2023/12/06,to-read,to-read (#62),to-read,,,,0,0
145587747,Darling Madness (Lost Boys of Never #1),Rosemary A. Johns,"Johns, Rosemary A.",,"=""""","=""""",0,3.89,,Kindle Edition,352,2023,2023,,2023/12/06,to-read,to-read (#61),to-read,,,,0,0
